"category","action","sourcePath","destinationPath","mappingRule","reviewReason","size","sha256","remoteExists","remoteSize","remoteEtag","remoteContentType","databaseReferenced"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/orca/orca_2.png","nouns/orca/orca_2.png","preserve_relative_path","","1183339","dc58c39a1175e61e2104f5ba465bef70f102aefdea1b46347e12ff11e70dd5f4","true","1183339","dd6601499deb54dcd0d169cadce14fe8","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/oven/oven_1.png","nouns/oven/oven_1.png","preserve_relative_path","","1050999","5229e4743cbe97acb31718ad83a9ba26c6cfca7a37e8e76be2d60754a3228e2b","true","1050999","17f7bae2a4e5d5ddb8e44e44061110be","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/oven/oven_2.png","nouns/oven/oven_2.png","preserve_relative_path","","1668010","bbaf728c607186c114eff57871b5b6405d5d6b6f2c8818334ccd3c25094c8fb6","true","1668010","52d6d82ed45d3d42b111877fff75416a","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/overcast/overcast_1.png","nouns/overcast/overcast_1.png","preserve_relative_path","","1150281","4e61cc062502e79d625c15e604b29ba0174268d844b75663ebc517abb2fac181","true","1150281","0bc554c4b926e78160b1c61028c83426","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/overcast/overcast_2.png","nouns/overcast/overcast_2.png","preserve_relative_path","","2188721","36d495b10af963683248e1b94a8a9b3b9bf8095408f76f6e4534701e91702120","true","2188721","346e1171cdb510cccb9e77583cbbc16b","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/owl/owl_1.png","nouns/owl/owl_1.png","preserve_relative_path","","1171405","e8befe0836daf7efdc0f78ff506934929fd93d11e6e417231b04ed5dfe7ad0c9","true","1171405","6e227b86361b69f9703d4fb4df8c876c","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/owl/owl_2.png","nouns/owl/owl_2.png","preserve_relative_path","","1191125","ec147bc24acbc3d2dfadfb119f7aa8c27f64f85f3d9eb372310ff0d7c9a6cf73","true","1191125","d5bd8eef6f6fbaac8cc7e03291ebdd2c","image/png","true"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pan/pan_1.png","nouns/pan/pan_1.png","preserve_relative_path","","2300045","84f1e8bba64ba163453f518156cddc568021519ff681ddf792a50f6e30a763c7","true","2300045","bae200bc03901369213372fbc27f4b84","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pan/pan_2.png","nouns/pan/pan_2.png","preserve_relative_path","","696666","ddbbe79f5b6c53bb0e1e854af622cb2d95dbef9fe8e9397aaec0dcdef800782b","true","696666","a55be98b64c0b7b1b35ee68e8c5ded49","image/png","false"
"nouns","skip_verified","/Users/Sean/Desktop/nouns-backup/nouns/pan/pan_3.png","nouns/pan/pan_3.png","preserve_relative_path","","2517238","49ccc4fe249b17fa8d0ce9623c20f15e650e50da92c4ef24691c3d9db4620b96","true","2517238","fa47f9d2258725fb858921376ebb0a36","image/png","false"
